Year,Month,Day,Hour,Wind_Speed,Wind_Direction
2023,10,11,21,2.76,196.411
2023,10,11,22,2.21,220.906
2023,10,11,23,1.69,286.435
2023,10,12,0,3.07,338.337
2023,10,12,1,4.09,13.2642
2023,10,12,2,4.63,9.7003
2023,10,12,3,4.19,2.21354
2023,10,12,4,3.79,341.808
2023,10,12,5,3.86,317.929
2023,10,12,6,4.23,299.57
2023,10,12,7,3.95,285.383
2023,10,12,8,2.59,273.719
2023,10,12,9,2.73,256.941
2023,10,12,10,3.36,241.242
2023,10,12,11,4.25,229.663
2023,10,12,12,4.14,220.403
2023,10,12,13,3.21,268.049
2023,10,12,14,3.08,277.908
2023,10,12,15,2.71,282.204
2023,10,12,16,2.01,283.334
2023,10,12,17,0.42,277.769
2023,10,12,18,2.21,116.514
2023,10,12,19,3.69,119.203
2023,10,12,20,4.06,123.866
2023,10,12,21,3.82,126.234
2023,10,12,22,3.05,131.365
2023,10,12,23,2.36,126.046
2023,10,13,0,2.23,114.776
2023,10,13,1,3.39,47.2382
2023,10,13,2,3.58,64.4655
2023,10,13,3,3.33,86.792
2023,10,13,4,2.89,114.925
2023,10,13,5,2.70,152.448
2023,10,13,6,3.22,185.886
2023,10,13,7,3.72,208.055
2023,10,13,8,3.23,209.958
2023,10,13,9,4.53,206.884
2023,10,13,10,7.14,210.051
2023,10,13,11,9.63,210.947
2023,10,13,12,9.52,214.597
2023,10,13,13,7.27,211.551
2023,10,13,14,5.88,206.045
2023,10,13,15,4.77,203.199
2023,10,13,16,3.88,196.565
2023,10,13,17,2.83,178.322
2023,10,13,18,3.43,146.036
2023,10,13,19,4.51,137.605
2023,10,13,20,5.80,142.51
2023,10,13,21,6.63,151.755
2023,10,13,22,7.24,160.149
2023,10,13,23,7.67,165.583
2023,10,14,0,7.85,168.987
2023,10,14,1,7.30,162.142
2023,10,14,2,6.80,164.34
2023,10,14,3,5.94,170.65
2023,10,14,4,4.99,185.501
2023,10,14,5,4.43,200.424
2023,10,14,6,4.26,213.356
2023,10,14,7,4.33,220.87
2023,10,14,8,3.39,216.687
2023,10,14,9,5.08,206.549
2023,10,14,10,8.14,203.987
2023,10,14,11,9.91,204.221
2023,10,14,12,8.24,204.653
2023,10,14,13,5.92,193.832
2023,10,14,14,4.75,191.7
2023,10,14,15,3.72,182.385
2023,10,14,16,3.16,167.141
2023,10,14,17,3.10,143.244
2023,10,14,18,4.37,129.782
2023,10,14,19,5.38,127.496
2023,10,14,20,6.06,130.961
